step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
331,1,0.474373,0.000000,0.667473,2.77e-05,0.0923,0.04,
332,1,0.463239,0.000000,0.655791,2.74e-05,0.1313,0.04,
333,1,0.458015,0.000000,0.622931,2.71e-05,0.1136,0.04,
334,1,0.460819,0.000000,0.637413,2.67e-05,0.1397,0.04,
335,1,0.449291,0.000000,0.630706,2.64e-05,0.1389,0.04,
336,1,0.454711,0.000000,0.617202,2.61e-05,0.1266,0.04,
337,1,0.461392,0.000000,0.656150,2.58e-05,0.1122,0.04,
338,1,0.454795,0.000000,0.628406,2.54e-05,0.1257,0.04,
339,1,0.466325,0.000000,0.637233,2.51e-05,0.1929,0.04,
340,1,0.459053,0.000000,0.633509,2.48e-05,0.0963,0.04,
341,1,0.452549,0.000000,0.620894,2.45e-05,0.1067,0.04,
342,1,0.458176,0.000000,0.652394,2.42e-05,0.1473,0.04,
343,1,0.449630,0.000000,0.647762,2.38e-05,0.0905,0.04,
344,1,0.450838,0.000000,0.641296,2.35e-05,0.1466,0.04,
345,1,0.448301,0.000000,0.609354,2.32e-05,0.0843,0.04,
346,1,0.455783,0.000000,0.647374,2.29e-05,0.1141,0.04,
347,1,0.449413,0.000000,0.628539,2.26e-05,0.2016,0.04,
348,1,0.458179,0.000000,0.627464,2.23e-05,0.1164,0.04,
349,1,0.450999,0.000000,0.623693,2.20e-05,0.1128,0.04,
350,1,0.448270,0.000000,0.625680,2.17e-05,0.1083,0.04,
351,1,0.459215,0.000000,0.664098,2.14e-05,0.1298,0.04,
352,1,0.453991,0.000000,0.622553,2.11e-05,0.1070,0.04,
353,1,0.451157,0.000000,0.651391,2.08e-05,0.1253,0.04,
354,1,0.452005,0.000000,0.650198,2.05e-05,0.1691,0.04,
355,1,0.445778,0.000000,0.686736,2.02e-05,0.2207,0.04,
356,1,0.459875,0.000000,0.677492,1.99e-05,0.1949,0.04,
357,1,0.453494,0.000000,0.667770,1.96e-05,0.1616,0.04,
358,1,0.467099,0.000000,0.632803,1.93e-05,0.1491,0.04,
359,1,0.461188,0.000000,0.632993,1.90e-05,0.1057,0.04,
359,1,,,,,,,0.459371
360,1,0.448713,0.000000,0.616686,1.87e-05,0.1788,0.00,
361,1,0.463529,0.000000,0.629718,1.84e-05,0.1159,0.01,
362,1,0.462414,0.000000,0.618923,1.81e-05,0.1610,0.04,
363,1,0.459648,0.000000,0.627577,1.78e-05,0.1068,0.04,
364,1,0.457960,0.000000,0.633983,1.76e-05,0.1275,0.04,
365,1,0.471756,0.000000,0.651296,1.73e-05,0.1747,0.04,
366,1,0.450724,0.000000,0.603004,1.70e-05,0.1229,0.04,
367,1,0.456088,0.000000,0.622532,1.67e-05,0.1818,0.04,
368,1,0.455960,0.000000,0.632291,1.65e-05,0.1966,0.04,
369,1,0.454449,0.000000,0.614878,1.62e-05,0.1169,0.04,
370,1,0.458280,0.000000,0.621285,1.59e-05,0.1209,0.04,
371,1,0.447851,0.000000,0.595034,1.56e-05,0.1396,0.04,
372,1,0.455728,0.000000,0.622754,1.54e-05,0.1044,0.04,
373,1,0.445176,0.000000,0.634783,1.51e-05,0.1197,0.04,
374,1,0.465810,0.000000,0.605193,1.48e-05,0.0818,0.04,
375,1,0.469080,0.000000,0.644926,1.46e-05,0.1573,0.04,
376,1,0.463037,0.000000,0.662938,1.43e-05,0.1685,0.04,
377,1,0.464951,0.000000,0.631447,1.41e-05,0.0955,0.04,
378,1,0.448094,0.000000,0.622081,1.38e-05,0.1145,0.04,
